id_perusahaan,jumlah_karyawan,jumlah_follower,waktu_dicatat
23841,485,19991,1692818107.0
79668835,135,5269,1692818107.0
4674,17957,138185,1692818187.0
16263152,42,2337,1692818187.0
35529,195,2630,1692818187.0
2183652,1109,453743,1692818187.0
37894,236,4242,1692818187.0
16118,3846,27382,1692818187.0
91743578,0,123,1692818187.0
27099119,72,1390,1692818187.0
56092,35,2363,1692818187.0
11190179,128,34051,1692818187.0
30679342,36,285,1692818187.0
1507699,79,3056,1692818187.0
1960295,78,1757,1692818187.0
3476,10095,3374336,1692818187.0
165383,5321,78349,1692818187.0
933942,344,17286,1692818187.0
2838631,1,7972,1692818187.0
2275216,29,656,1692818187.0
1952028,464,23881,1692818268.0
2615835,187,43089,1692818268.0
48528,301,19041,1692818268.0
35689556,115,36401,1692818268.0
586645,175,46215,1692818268.0
2474662,1122,554168,1692818268.0
23674217,33,10940,1692818268.0
156470,273,49706,1692818268.0
91447303,3172,526007,1692818268.0
14680,297,19300,1692818268.0
2604933,257,27529,1692818268.0
3809210,1,178,1692818268.0
3181342,737,43162,1692818268.0
86694680,1954,227557,1692818268.0
1335118,393,18214,1692818268.0
18340489,68,55891,1692818268.0
82712,112,1418,1692818268.0
2560345,195,32003,1692818351.0
65808,1241,40907,1692818351.0
766876,772,352953,1692818351.0
85964,292,33668,1692818351.0
1417153,58,42827,1692818351.0
18102043,42554,78871,1692818351.0
9185109,9,5531,1692818351.0
7973087,325,17179,1692818351.0
35184,591,12007,1692818351.0
1215629,450,184774,1692818351.0
10075319,122,45311,1692818351.0
36019,845,30230,1692818351.0
3269275,11,94,1692818351.0
9025,20022,39293,1692818351.0
4035,14152,315738,1692818351.0
6424460,379,10771,1692818351.0
1468,113785,2844474,1692818431.0
14606618,64,59332,1692818431.0
21738,1299,36126,1692818431.0
4433,3297,586775,1692818431.0
2788204,377,82812,1692818431.0
570420,441,83491,1692818431.0
712597,632,20943,1692818431.0
18298504,1707,12062,1692818431.0
10155672,118,441,1692818431.0
54317927,28,488,1692818431.0
76777166,1,2107,1692818431.0
25929,187,29411,1692818431.0
2875,1056,261271,1692818431.0
151898,36,384,1692818431.0
632140,618,78968,1692818431.0
986449,3507,24573,1692818431.0
2899266,72,24030,1692818431.0
4419,3837,35181,1692818511.0
11822654,26,251,1692818511.0
79383535,21144,1746765,1692818511.0
869128,217,91392,1692818511.0
3591245,14,113,1692818511.0
5021998,126,28132,1692818511.0
11618,3916,62002,1692818511.0
215561,207,235548,1692818511.0
2114711,16,22840,1692818511.0
10833297,176,52201,1692818511.0
18456165,78,760,1692818511.0
9889773,147,3590,1692818511.0
3364,34702,603203,1692818511.0
1167975,408,6455,1692818511.0
11544533,9,67,1692829514.0
6274163,1,78,1692829514.0
9817526,472,9588,1692829514.0
8593,7377,40931,1692829514.0
163227,626,27392,1692829514.0
54819446,23,138,1692829514.0
252624,1771,11720,1692829514.0
217273,474,35625,1692829514.0
25030757,34,258,1692829514.0
9201,4064,83178,1692829514.0
298409,394,146728,1692829514.0
981830,46,1977,1692829514.0
56833,1493,87013,1692829514.0
1970,46289,409766,1692829514.0
95267,83,66018,1692829514.0
61397771,5,13,1692829563.0
418451,309,2654,1692829563.0
6915,5797,78683,1692829563.0
2152,25435,800457,1692829563.0
94181897,2,49,1692829563.0
25038366,14,108,1692829563.0
5336314,7,508,1692829563.0
18449575,189,26892,1692829563.0
202287,309,2055,1692829563.0
65529778,22,6411,1692829563.0
7463,6323,60868,1692829563.0
162258,13221,83707,1692829563.0
162807,5125,641899,1692829563.0
81962756,5,70,1692829563.0
11028871,241,2403,1692829563.0
28612425,14,297,1692829563.0
6382239,221,45001,1692829563.0
6638223,34,7157,1692829611.0
13421086,86,13441,1692829611.0
2928642,178,2044,1692829611.0
162547,8572,81923,1692829611.0
2314143,217,26267,1692829611.0
155710,58,16546,1692829611.0
2124763,362,7664,1692829611.0
94079,2955,51309,1692829611.0
89686436,6,4325,1692829611.0
21784,188,108455,1692829611.0
33125878,118,35615,1692829611.0
5131340,176,8749,1692829611.0
284382,809,219177,1692829611.0
38092727,12,670,1692829611.0
1967752,71,1404,1692829611.0
352246,300,1539,1692829611.0
3505146,67,965,1692829611.0
1251463,71,3679,1692829659.0
31032366,31,18174,1692829659.0
145137,429,6033,1692829659.0
30498,8160,68215,1692829659.0
53939277,12,46,1692829659.0
853789,530,7019,1692829659.0
1265059,1,1952,1692829659.0
211869,199,69229,1692829659.0
27903,104,33301,1692829659.0
164920,2821,81774,1692829659.0
118698,175,16015,1692829659.0
2403625,219,55822,1692829659.0
64969581,1,29,1692829708.0
1117735,1,180,1692829708.0
230197,47,1986,1692829708.0
24995091,449,1249,1692829708.0
40739208,12,843,1692829708.0
14633226,108,2713,1692829708.0
5234457,122,73929,1692829708.0
5260930,123,14298,1692829708.0
10841679,98,41199,1692829708.0
8861597,10,32,1692829708.0
10616113,171,63129,1692829708.0
104243,55,260,1692829708.0
280956,59,8696,1692829708.0
18758749,147,47043,1692829708.0
35581547,63,127,1692829708.0
82263,42,19526,1692829708.0
5084329,279,35001,1692829708.0
95734231,8,378,1692829757.0
19626,219,76591,1692829757.0
383369,77,72432,1692829757.0
290493,354,4714,1692829757.0
68951389,14,13703,1692829757.0
2168893,107,37609,1692829757.0
26793,3498,137914,1692829757.0
22003,1068,46442,1692829757.0
2644830,22,163,1692829757.0
236019,215,8343,1692829757.0
4126,57799,1554360,1692829757.0
3240627,388,27594,1692829757.0
8524,8804,1000654,1692829757.0
7893064,93,7154,1692829757.0
52119691,28,1015,1692829805.0
210064,137255,3184299,1692829805.0
11133123,836,123815,1692829805.0
37476400,27,195,1692829805.0
10076831,16,1571,1692829805.0
2864539,9,5049,1692829805.0
743843,85,89224,1692829805.0
11553420,1102,116391,1692829805.0
1158192,107,17862,1692829805.0
2121817,343,280898,1692829805.0
15650165,19,24,1692829805.0
8117,2309,554370,1692829805.0
9089,7918,431343,1692829805.0
2132152,217,2807,1692829805.0
2511837,115,10041,1692829805.0
15571126,20,85,1692829805.0
235340,135,8739,1692829805.0
27016907,8,182,1692829805.0
528217,491,12000,1692829853.0
82120874,8,3981,1692829853.0
894315,173,5219,1692829853.0
17975937,176,22448,1692829853.0
90198358,576,31066,1692829853.0
164766,726,340697,1692829853.0
207697,9,24675,1692829853.0
80055,137,14297,1692829853.0
27244722,59,868,1692829853.0
77185102,91,15165,1692829853.0
12601035,6,201,1692829853.0
590130,412,23462,1692829853.0
14629065,68,10421,1692829853.0
248184,748,108512,1692829853.0
2734,74236,2060447,1692829853.0
946733,37,4101,1692829853.0
10995060,126,21650,1692829902.0
62381783,15,105,1692829902.0
200685,191,10635,1692829902.0
14336,2623,38434,1692829902.0
16162070,85,217,1692829902.0
3618762,91,3255,1692829902.0
35516710,350,1696,1692829902.0
413796,126,118152,1692829902.0
91334459,6,103,1692829902.0
347685,1328,16229,1692829902.0
280561,779,3127,1692829902.0
1135366,583,5837,1692829902.0
40894,2045,246809,1692829902.0
3163363,150,5556,1692829902.0
18613449,568,9223,1692829902.0
6405924,20,13353,1692829950.0
251970,309,4065,1692829950.0
34748771,1,52,1692829950.0
670231,8,25,1692829950.0
5038190,38,822,1692829950.0
2297840,624,71183,1692829950.0
10126963,364,363935,1692829950.0
68889,5157,270766,1692829950.0
35657035,20,196,1692829950.0
162999,3176,36292,1692829950.0
911430,879,22767,1692829950.0
11861673,45,157,1692829950.0
96344069,2,40,1692829950.0
15183489,333,57044,1692829950.0
76665811,15,592,1692829950.0
33238399,8,555,1692829950.0
8602,9611,285297,1692829950.0
2531104,238,115446,1692829998.0
3725929,76,1503,1692829998.0
70915780,58,319124,1692829998.0
3626487,56,30208,1692829998.0
5236573,80,12690,1692829998.0
948229,36,8812,1692829998.0
37207749,1734,11334,1692829998.0
1611410,239,4762,1692829998.0
10794395,1,6169,1692829998.0
89581254,22,22932,1692829998.0
2049094,84,20719,1692829998.0
698935,66,5963,1692829998.0
66939019,5,372,1692829998.0
1907823,296,9922,1692829998.0
64738928,1419,193814,1692830047.0
71049308,5124,40623,1692830047.0
60836398,5,69,1692830047.0
10653666,34,5597,1692830047.0
30116,678,13046,1692830047.0
10853673,115,35725,1692830047.0
25371,4932,35986,1692830047.0
52129901,19,5900,1692830047.0
25066691,129,29286,1692830047.0
201351,10987,571493,1692830047.0
77153,349,4763,1692830047.0
15919280,63,800,1692830047.0
2420612,180,5745,1692830047.0
107021,280,56821,1692830095.0
13333,314,62903,1692830095.0
4725,44529,1312371,1692830095.0
1036445,85,2619,1692830095.0
64997233,11,525,1692830095.0
243711,245,221386,1692830095.0
675578,26,187,1692830095.0
53971,6140,58262,1692830095.0
35495086,88,32149,1692830095.0
61400,532,10496,1692830095.0
35475885,118,71949,1692830095.0
2985733,831,336570,1692830095.0
3283052,6884,135934,1692830095.0
3079692,26,433,1692830095.0
71015526,87,2763,1692830095.0
63086,578,73769,1692830095.0
18715975,27,586,1692830095.0
13643656,49,4795,1692830144.0
2890366,1324,5011,1692830144.0
71070208,167,6092,1692830144.0
75581097,153,75489,1692830144.0
3789,55806,1297457,1692830144.0
82315512,1,16,1692830144.0
7600286,9,1100,1692830144.0
956827,7,7515,1692830144.0
4060,40637,1128123,1692830144.0
16090980,10,74,1692830144.0
28863552,14,695,1692830144.0
1955819,750,11870,1692830144.0
8367,765,26385,1692830144.0
310015,528,106027,1692830144.0
1975865,107,37212,1692830144.0
11021041,154,2795,1692830193.0
10577525,57,5869,1692830193.0
6379951,37,95424,1692830193.0
2944478,254,17643,1692830193.0
2763211,319,6853,1692830193.0
1676298,38,2585,1692830193.0
91417994,19,19,1692830193.0
232394,76,88192,1692830193.0
28178724,4,136,1692830193.0
1939425,80,1357,1692830193.0
14699670,926,122230,1692830193.0
2952162,94,1489,1692830193.0
92229,22,8125,1692830193.0
24999265,106,3280,1692830193.0
5275,24323,565003,1692830193.0
31346550,127,31107,1692830193.0
