id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_enconded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3693045216,6044.0,7500.0,11.0,0.0,47.0,1989.0,2,4,3,34,27,36,17656,10188,51,1,0,0,0,0,0,0,1,1,1
3693582922,11229.0,5416.666666666667,3.0,0.0,47.0,4871.0,5,4,2,30,20,24,596,9673,51,0,1,0,0,0,0,0,1,1,1
3693042975,16742.0,12500.0,5.0,1.0,47.0,1718.0,5,4,3,30,36,36,18961,998,51,0,1,0,0,0,0,0,1,1,1
3757468744,0.0,4791.666666666667,3.0,0.0,47.0,10.0,5,3,2,30,20,36,624,9593,53,0,1,0,0,0,0,0,1,1,1
3756146871,2432.0,6274.4,0.0,0.0,47.0,13783.0,2,1,1,30,20,36,18946,3766,51,0,1,0,0,0,0,0,1,1,1
3693044456,16742.0,14500.0,6.0,1.0,47.0,1718.0,5,4,3,30,36,36,18961,998,51,0,1,0,0,0,0,0,1,1,1
3749375410,2859.0,7500.0,1.0,0.0,47.0,10657.0,5,4,1,20,30,36,16665,966,51,0,1,0,0,0,0,0,1,1,1
3693050122,13333.0,3640.0,19.0,0.0,47.0,319.0,5,3,3,30,20,36,6126,5156,51,0,1,0,0,0,0,0,1,1,1
3757473401,0.0,7083.333333333333,1.0,0.0,47.0,10.0,5,3,3,30,20,36,2296,9593,53,0,1,0,0,0,0,0,1,1,1
3693051584,11229.0,7500.0,26.0,0.0,47.0,4871.0,5,4,2,30,36,36,16475,9673,51,0,1,0,0,0,0,0,1,1,1
3757721192,5507.0,11380.333333333334,0.0,0.0,47.0,8996.0,5,4,1,30,20,36,12921,2374,51,0,1,0,0,0,0,0,1,1,1
3756115452,5235.0,9791.666666666666,0.0,0.0,47.0,12986.0,5,4,3,30,36,36,1456,5053,51,0,1,0,0,0,0,0,1,1,1
