id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757931806,99500291,5104.0,0,False,16,1,2,4,1,31,36,36,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757931799,31430327,6778.64,0,False,14,13,2,3,1,31,36,36,5745,33,5415,51,1,0,0,0,0,0,0,1,1
3757931795,16223627,6778.64,0,False,14,26,2,2,1,31,36,36,6598,33,325,51,1,0,0,0,0,0,0,1,1
3757931788,6464,3333.333333333333,0,False,68,11624,5,4,1,30,20,36,767,31,9574,51,0,1,0,0,0,0,0,1,1
3757931787,6464,5750.0,0,False,68,11624,5,2,1,31,36,36,3371,31,9574,51,0,1,0,0,0,0,0,1,1
3757931783,0,7810.833333333334,0,False,15,0,5,4,3,14,36,36,16935,55,9593,53,0,1,0,0,0,0,0,1,1
3757931774,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931773,0,7810.833333333334,0,False,15,0,5,4,3,14,36,36,12393,55,9593,53,0,1,0,0,0,0,0,1,1
3757931759,73013724,14791.666666666664,1,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931749,91313799,10864.583333333334,3,False,4,863,5,4,3,27,36,36,9306,64,8415,51,0,1,0,0,0,0,0,1,1
3757931739,91313799,7708.333333333333,1,False,17,863,5,3,3,27,34,36,14074,47,8415,51,0,1,0,0,0,0,0,1,1
3757931738,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931735,79098833,8169.92,4,False,11,3,5,4,3,23,36,36,17112,12,9779,51,0,1,0,0,0,0,0,1,1
3757931730,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931721,73013724,14791.666666666664,2,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931720,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931640,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931639,73013724,14791.666666666664,1,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931596,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930935,1102373,3647.6,0,False,27,345,2,2,1,28,36,36,1312,61,7166,51,0,1,0,0,0,0,0,1,1
3757930923,0,7810.833333333334,0,False,15,0,5,4,3,14,36,36,17170,55,9593,53,0,1,0,0,0,0,0,1,1
3757930917,1312785,5750.0,3,False,68,1253,5,2,1,12,19,34,14818,31,9430,51,0,1,0,0,0,0,0,1,1
3757930914,11357247,5412.88,0,False,104,64,2,2,1,12,19,34,170,65,6327,51,0,0,0,0,1,0,0,1,1
3757930912,3743123,5984.0,0,False,14,70,2,2,1,31,36,36,14348,33,7263,51,0,0,0,0,1,0,0,1,1
3757930908,82556159,4750.0,0,True,31,3,5,2,1,21,22,36,14759,32,5966,51,0,1,0,0,0,0,0,1,1
3757930887,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930886,91313799,10864.583333333334,1,False,4,863,5,4,3,27,36,36,9234,64,8415,51,0,1,0,0,0,0,0,1,1
3757930873,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930868,79098833,8333.333333333334,3,False,50,3,5,4,3,35,36,36,3861,5,9779,51,0,1,0,0,0,0,0,1,1
3757930863,78708714,7810.833333333334,4,False,15,39,5,6,3,31,36,36,10678,55,1159,51,0,1,0,0,0,0,0,1,1
3757930863,78708714,8125.0,4,False,12,39,5,6,3,31,36,36,10678,9,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714,12083.333333333334,2,False,124,39,5,4,3,31,36,36,8358,73,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714,12083.333333333334,2,False,14,39,5,4,3,31,36,36,8358,33,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714,12083.333333333334,2,False,139,39,5,4,3,31,36,36,8358,49,1159,51,0,1,0,0,0,0,0,1,1
3757930215,73013724,14791.666666666664,1,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930108,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929978,3603539,6250.0,0,False,44,193,5,2,1,23,24,36,9988,57,7594,51,0,1,0,0,0,0,0,1,1
3757929967,6577380,4928.0,0,False,92,48,2,2,1,23,24,36,2678,70,2199,51,0,1,0,0,0,0,0,1,1
3757929959,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929946,79098833,5753.84,1,False,139,3,5,4,3,31,36,36,10810,49,9779,51,0,1,0,0,0,0,0,1,1
3757929925,91313799,10864.583333333334,1,False,4,863,5,4,3,30,24,23,5816,64,8415,51,0,1,0,0,0,0,0,1,1
3757929921,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929899,2238,9958.333333333334,0,False,23,25512,5,4,2,15,23,1,16184,28,2522,19,0,1,0,0,0,0,0,1,1
3757929899,2238,9958.333333333334,0,False,47,25512,5,4,2,15,23,1,16184,1,2522,19,0,1,0,0,0,0,0,1,1
3757929797,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929719,2238,7291.666666666667,5,False,23,25512,5,4,2,8,25,3,10218,28,2522,19,0,1,0,0,0,0,0,1,1
3757929719,2238,7291.666666666667,5,False,47,25512,5,4,2,8,25,3,10218,1,2522,19,0,1,0,0,0,0,0,1,1
3757929630,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929395,76464418,5416.666666666667,1,False,100,239,5,2,3,17,18,36,18567,52,7729,51,0,1,0,0,0,0,0,1,1
3757928989,91313799,7810.833333333334,0,False,15,863,5,5,3,21,22,36,20195,55,8415,51,0,1,0,0,0,0,0,1,1
