id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_enconded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3693042975,16742.0,12500.0,5.0,1.0,47.0,1718.0,5,4,3,30,36,36,18961,998,51,0,1,0,0,0,0,0,1,1,1
3701328415,91096504.0,5833.333333333333,48.0,0.0,47.0,10.0,5,2,3,30,36,36,8927,3547,51,0,1,0,0,0,0,0,1,1,1
3749349578,77723613.0,14500.0,4.0,0.0,47.0,10.0,5,4,3,30,20,36,6820,6540,51,0,1,0,0,0,0,0,1,1,1
3694114267,1038.0,7500.0,0.0,0.0,47.0,84960.0,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694116043,1038.0,7500.0,0.0,0.0,47.0,84960.0,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3693599611,2762306.0,5833.333333333333,2.0,0.0,47.0,10.0,5,4,3,30,20,36,18261,4430,51,0,1,0,0,0,0,0,1,1,1
3694112405,1038.0,7500.0,0.0,0.0,47.0,84960.0,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3679058652,3743.0,6500.0,13.0,0.0,47.0,17859.0,5,4,1,30,20,36,8746,7315,51,0,1,0,0,0,0,0,1,1,1
3693054085,10593599.0,11250.0,3.0,0.0,47.0,85.0,5,6,3,30,20,17,4018,9288,51,0,1,0,0,0,0,0,1,1,1
3757487722,1215629.0,11458.333333333334,0.0,0.0,47.0,490.0,5,3,3,30,36,36,554,842,51,0,1,0,0,0,0,0,1,1,1
3697397466,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,36,1848,1876,51,0,1,0,0,0,0,0,1,1,1
3701308159,71346710.0,7500.0,28.0,1.0,47.0,126.0,5,4,3,30,23,36,4094,6963,51,0,1,0,0,0,0,0,1,1,1
3693073612,1518461.0,11666.666666666666,6.0,1.0,47.0,21.0,5,6,3,30,20,36,18949,7027,51,0,1,0,0,0,0,0,1,1,1
3698001200,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,36,1848,1876,51,0,1,0,0,0,0,0,1,1,1
