id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,singkatan_kemampuanencoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_terformat_encoded,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757730988,777243,7083.333333333333,0,False,47,329,5,4,3,30,14985,723,48,2,1,1,1
3757730988,777243,7083.333333333333,0,False,47,329,5,4,3,20,14985,723,48,2,1,1,1
3757730768,2437248,7500.0,0,False,47,8682,2,1,1,30,17777,1398,48,5,1,1,1
3757730768,2437248,7500.0,0,False,47,8682,2,1,1,20,17777,1398,48,5,1,1,1
3757729214,6044,11458.333333333334,3,False,47,1989,5,4,2,30,8772,9322,48,2,1,1,1
3757729214,6044,11458.333333333334,3,False,47,1989,5,4,2,19,8772,9322,48,2,1,1,1
3757728848,43782,7500.0,0,False,47,342,2,2,1,35,18054,1046,48,6,1,1,1
3757727686,33274,7500.0,0,False,47,448,5,4,1,28,15550,1034,48,2,1,1,1
3757725502,6044,11458.333333333334,0,False,47,1989,5,4,2,30,8772,9322,48,2,1,1,1
3757725502,6044,11458.333333333334,0,False,47,1989,5,4,2,19,8772,9322,48,2,1,1,1
3757721192,5507,11380.333333333334,0,False,47,8996,5,4,1,30,12047,2193,48,2,1,1,1
3757721192,5507,11380.333333333334,0,False,47,8996,5,4,1,20,12047,2193,48,2,1,1,1
3757721111,5507,7931.75,0,False,47,8996,5,4,1,30,15084,2193,48,2,1,1,1
3757721111,5507,7931.75,0,False,47,8996,5,4,1,20,15084,2193,48,2,1,1,1
3757717757,6044,7480.0,5,False,47,1989,2,4,3,30,1699,9322,48,1,1,1,1
3757717757,6044,7480.0,5,False,47,1989,2,4,3,19,1699,9322,48,1,1,1,1
3757717572,777243,6666.666666666667,15,False,47,329,5,6,3,20,4859,723,48,2,1,1,1
3757717572,777243,6666.666666666667,15,False,47,329,5,6,3,30,4859,723,48,2,1,1,1
3757717572,777243,6666.666666666667,15,False,47,329,5,6,3,35,4859,723,48,2,1,1,1
3757715665,5507,10446.666666666666,0,False,47,8996,5,4,1,30,6374,2193,48,2,1,1,1
3757715665,5507,10446.666666666666,0,False,47,8996,5,4,1,20,6374,2193,48,2,1,1,1
3757715400,15228,4416.666666666667,3,False,47,2063,5,3,3,30,10266,2278,48,2,1,1,1
3757715400,15228,4416.666666666667,3,False,47,2063,5,3,3,20,10266,2278,48,2,1,1,1
3757715400,15228,4416.666666666667,3,False,47,2063,5,3,3,19,10266,2278,48,2,1,1,1
3757709088,2875,5104.0,0,True,47,899,2,4,3,30,17726,4946,48,1,1,1,1
3757709088,2875,5104.0,0,True,47,899,2,4,3,20,17726,4946,48,1,1,1,1
3757705360,20089,3872.0,3,True,47,5658,2,3,1,19,1735,2130,48,2,1,1,1
3757705360,20089,3872.0,3,True,47,5658,2,3,1,20,1735,2130,48,2,1,1,1
3757705360,20089,3872.0,3,True,47,5658,2,3,1,30,1735,2130,48,2,1,1,1
3757704445,29952,7500.0,0,False,47,126,5,3,3,20,13939,8082,48,2,1,1,1
3757704445,29952,7500.0,0,False,47,126,5,3,3,19,13939,8082,48,2,1,1,1
3757704445,29952,7500.0,0,False,47,126,5,3,3,35,13939,8082,48,2,1,1,1
3757703870,2254994,13333.333333333334,1,False,47,123,5,6,3,30,3860,1897,48,2,1,1,1
3757703870,2254994,13333.333333333334,1,False,47,123,5,6,3,20,3860,1897,48,2,1,1,1
3757703870,2254994,13333.333333333334,1,False,47,123,5,6,3,34,3860,1897,48,2,1,1,1
3757700596,777243,9583.333333333334,4,False,47,329,5,6,3,20,4934,723,48,2,1,1,1
3757700596,777243,9583.333333333334,4,False,47,329,5,6,3,30,4934,723,48,2,1,1,1
3757700596,777243,9583.333333333334,4,False,47,329,5,6,3,35,4934,723,48,2,1,1,1
3757700569,64923472,7500.0,11,False,47,1,5,4,3,30,6386,7577,48,2,1,1,1
3757700569,64923472,7500.0,11,False,47,1,5,4,3,20,6386,7577,48,2,1,1,1
3757700569,64923472,7500.0,11,False,47,1,5,4,3,19,6386,7577,48,2,1,1,1
3757499662,6044,11000.0,4,True,47,1989,2,4,2,30,10886,9322,48,1,1,1,1
3757499662,6044,11000.0,4,True,47,1989,2,4,2,19,10886,9322,48,1,1,1,1
3757498213,644472,10000.0,1,False,47,70,5,4,3,30,1724,7335,48,2,1,1,1
3757496614,106188,14080.0,2,False,47,137,2,4,3,34,7905,7072,48,1,1,1,1
3757496046,777243,7708.333333333333,15,False,47,329,5,3,3,35,6338,723,48,2,1,1,1
3757496046,777243,7708.333333333333,15,False,47,329,5,3,3,19,6338,723,48,2,1,1,1
3757496046,777243,7708.333333333333,15,False,47,329,5,3,3,20,6338,723,48,2,1,1,1
